# Scalar ASCII output created by CarpetIOScalar
# created on N85S by pan on Dec 12 2020 at 12:28:46+0100
# parameter filename: "/home/pan/simulations/FLRW_O2/output-0000/FLRW_O2.par"
#
# ML_ADMCONSTRAINTS::H (H)
# 1:iteration 2:time 3:data
0 1 -1.4210854715202e-14
1 1.0005 3.05533376376843e-13
2 1.001 -2.8421709430404e-14
3 1.0015 2.27373675443232e-13
4 1.002 4.2632564145606e-14
5 1.0025 2.1316282072803e-14
6 1.003 -3.19744231092045e-13
7 1.0035 8.5265128291212e-14
8 1.004 7.8159700933611e-14
9 1.0045 5.6843418860808e-14
10 1.005 -1.98951966012828e-13
11 1.0055 -3.12638803734444e-13
12 1.006 -3.05533376376843e-13
13 1.0065 -4.9737991503207e-14
14 1.007 1.13686837721616e-13
15 1.0075 -4.2632564145606e-13
16 1.008 -4.19220214098459e-13
17 1.0085 -1.84741111297626e-13
18 1.009 4.2632564145606e-14
19 1.0095 -5.32907051820075e-13
20 1.01 4.2632564145606e-14
21 1.0105 -2.27373675443232e-13
22 1.011 -4.9737991503207e-14
23 1.0115 -4.54747350886464e-13
24 1.012 -2.20268248085631e-13
25 1.0125 -3.12638803734444e-13
26 1.013 -3.12638803734444e-13
27 1.0135 -7.105427357601e-14
28 1.014 7.105427357601e-14
29 1.0145 -2.62900812231237e-13
30 1.015 -3.48165940522449e-13
31 1.0155 -1.06581410364015e-13
32 1.016 -2.8421709430404e-14
33 1.0165 -3.69482222595252e-13
34 1.017 -8.31335000839317e-13
35 1.0175 -6.18172180111287e-13
36 1.018 -2.55795384873636e-13
37 1.0185 -5.6843418860808e-13
38 1.019 -6.25277607468888e-13
39 1.0195 -7.105427357601e-13
40 1.02 -4.83169060316868e-13
41 1.0205 -9.62785406954936e-13
42 1.021 -4.9737991503207e-14
43 1.0215 -8.34887714518118e-13
44 1.022 -5.32907051820075e-13
45 1.0225 -4.72510919280467e-13
46 1.023 3.19744231092045e-14
47 1.0235 -9.59232693276135e-13
48 1.024 -8.73967564984923e-13
49 1.0245 -1.49213974509621e-13
50 1.025 -4.33431068813661e-13
51 1.0255 -4.33431068813661e-13
52 1.026 -2.34479102800833e-13
53 1.0265 -2.34479102800833e-13
54 1.027 -9.59232693276135e-14
55 1.0275 -9.05941988094128e-13
56 1.028 -5.50670620214078e-13
57 1.0285 -9.2370555648813e-13
58 1.029 -5.57776047571679e-13
59 1.0295 -7.14095449438901e-13
60 1.03 -7.99360577730113e-13
61 1.0305 -3.76587649952853e-13
62 1.031 -5.18696197104873e-13
63 1.0315 -5.15143483426073e-13
64 1.032 -7.85149723014911e-13
65 1.0325 -1.06581410364015e-13
66 1.033 -8.66862137627322e-13
67 1.0335 -1.91846538655227e-13
68 1.034 -9.30810983845731e-13
69 1.0345 -1.02318153949454e-12
70 1.035 -6.71462885293295e-13
71 1.0355 -4.90274487674469e-13
72 1.036 -2.87769807982841e-13
73 1.0365 -3.05533376376843e-13
74 1.037 -7.53175299905706e-13
75 1.0375 -4.9737991503207e-13
76 1.038 -5.6488147492928e-13
