# Scalar ASCII output created by CarpetIOScalar
# created on N85S by pan on Dec 12 2020 at 12:28:46+0100
# parameter filename: "/home/pan/simulations/FLRW_O2/output-0000/FLRW_O2.par"
#
# ADMBASE::kzz (kzz)
# 1:iteration 2:time 3:data
0 1 -2
1 1.0005 -2.00100000000059
2 1.001 -2.00199999999725
3 1.0015 -2.00299999999786
4 1.002 -2.00400000000025
5 1.0025 -2.00500000000177
6 1.003 -2.00599999999739
7 1.0035 -2.00699999999898
8 1.004 -2.00800000000138
9 1.0045 -2.00900000000158
10 1.005 -2.00999999999823
11 1.0055 -2.01099999999882
12 1.006 -2.01200000000119
13 1.0065 -2.01300000000282
14 1.007 -2.01399999999836
15 1.0075 -2.01499999999999
16 1.008 -2.01600000000237
17 1.0085 -2.01700000000297
18 1.009 -2.0179999999978
19 1.0095 -2.01900000000019
20 1.01 -2.02000000000086
21 1.0105 -2.02099999999745
22 1.011 -2.02199999999805
23 1.0115 -2.02300000000034
24 1.012 -2.02400000000199
25 1.0125 -2.02499999999758
26 1.013 -2.02599999999923
27 1.0135 -2.02700000000119
28 1.014 -2.0280000000018
29 1.0145 -2.02899999999837
30 1.015 -2.02999999999904
31 1.0155 -2.03100000000145
32 1.016 -2.032000000003
33 1.0165 -2.03299999999853
34 1.017 -2.03400000000017
35 1.0175 -2.03500000000258
36 1.018 -2.03599999999638
37 1.0185 -2.03699999999804
38 1.019 -2.03800000000042
39 1.0195 -2.03900000000105
40 1.02 -2.03999999999761
41 1.0205 -2.04099999999819
42 1.021 -2.04200000000059
43 1.0215 -2.04300000000224
44 1.022 -2.04399999999774
45 1.0225 -2.04499999999898
46 1.023 -2.04600000000139
47 1.0235 -2.04700000000206
48 1.024 -2.04799999999859
49 1.0245 -2.04899999999912
50 1.025 -2.05000000000155
51 1.0255 -2.05100000000319
52 1.026 -2.05199999999879
53 1.0265 -2.05300000000041
54 1.027 -2.05400000000107
55 1.0275 -2.05499999999655
56 1.028 -2.0559999999981
57 1.0285 -2.05700000000051
58 1.029 -2.05800000000134
59 1.0295 -2.05899999999772
60 1.03 -2.05999999999839
61 1.0305 -2.06100000000077
62 1.031 -2.0620000000023
63 1.0315 -2.06299999999771
64 1.032 -2.06399999999923
65 1.0325 -2.06500000000161
66 1.033 -2.06600000000228
67 1.0335 -2.06699999999843
68 1.034 -2.06799999999962
69 1.0345 -2.06900000000205
70 1.035 -2.07000000000346
71 1.0355 -2.07099999999891
72 1.036 -2.0719999999996
73 1.0365 -2.07300000000095
74 1.037 -2.07399999999708
75 1.0375 -2.07499999999842
76 1.038 -2.07600000000077
77 1.0385 -2.07700000000146
78 1.039 -2.07799999999753
79 1.0395 -2.07899999999895
80 1.04 -2.0800000000013
81 1.0405 -2.08100000000231
82 1.041 -2.08199999999773
83 1.0415 -2.0829999999991
84 1.042 -2.0840000000015
85 1.0425 -2.08500000000271
86 1.043 -2.08599999999896
87 1.0435 -2.08699999999958
88 1.044 -2.08800000000188
89 1.0445 -2.08900000000334
90 1.045 -2.08999999999773
91 1.0455 -2.09100000000008
92 1.046 -2.09200000000151
93 1.0465 -2.0929999999969
94 1.047 -2.09399999999834
95 1.0475 -2.0950000000006
96 1.048 -2.09600000000191
97 1.0485 -2.0969999999982
98 1.049 -2.09799999999835
99 1.0495 -2.09900000000066
100 1.05 -2.10000000000217
101 1.0505 -2.10099999999827
102 1.051 -2.10199999999981
103 1.0515 -2.10300000000198
104 1.052 -2.10400000000251
105 1.0525 -2.10499999999889
106 1.053 -2.10600000000016
107 1.0535 -2.10700000000061
108 1.054 -2.10799999999711
109 1.0545 -2.10899999999762
110 1.055 -2.10999999999976
111 1.0555 -2.11100000000143
112 1.056 -2.11199999999735
113 1.0565 -2.11299999999904
114 1.057 -2.11400000000116
115 1.0575 -2.11500000000163
116 1.058 -2.11599999999778
117 1.0585 -2.11699999999893
118 1.059 -2.11800000000109
119 1.0595 -2.11900000000276
120 1.06 -2.11999999999808
121 1.0605 -2.12099999999973
122 1.061 -2.12200000000181
123 1.0615 -2.12300000000298
124 1.062 -2.12399999999957
125 1.0625 -2.125
126 1.063 -2.12600000000041
127 1.0635 -2.12699999999701
128 1.064 -2.12799999999819
129 1.0645 -2.12900000000024
130 1.065 -2.13000000000193
